Qubit;Pair;T1 (µs);T2 (µs);f1QRB;f1QRB std err;f1Q sim. RB;f1Q sim. RB std err;fActiveReset;fRO;fXY;fXY std err;fCZ;fCZ std err;Avg T1 (µs);Avg T2 (µs);Avg fActiveReset;Avg fRO;Date;;
14;;21.21;15.86;0.9988;0.0001685;0.9621;0.004301;0.9025;0.9285;;;;;;;;;Invalid date;;
15;;28.35;18.21;0.9986;0.0001564;0.9815;0.001344;0.9970;0.9270;;;;;;;;;Invalid date;;
16;;17.33;0.2766;0.9902;0.0007553;0.9593;0.003393;0.8070;0.9450;;;;;;;;;Invalid date;;
17;;37.70;14.85;0.9979;0.0006087;0.9977;0.00009354;0.9505;0.8905;;;;;;;;;Invalid date;;
20;;20.36;8.247;0.9930;0.0004326;0.9977;0.0001183;0.9985;0.9640;;;;;;;;;Invalid date;;
21;;47.19;15.03;0.9971;0.001101;0.9947;0.0006019;0.9855;0.8940;;;;;;;;;Invalid date;;
22;;35.79;1.066;0.9699;0.007690;0.9959;0.0004149;0.9945;0.9630;;;;;;;;;Invalid date;;
23;;38.69;15.63;0.9871;0.001746;0.9970;0.0002849;0.9345;0.9500;;;;;;;;;Invalid date;;
24;;41.87;7.146;0.9985;0.0001521;0.9978;0.0001735;0.9915;0.9590;;;;;;;;;Invalid date;;
25;;20.67;9.703;0.9989;0.0003483;0.9963;0.0002329;0.9770;0.8645;;;;;;;;;Invalid date;;
26;;21.45;15.08;0.9981;0.0001527;0.9971;0.0001815;0.9970;0.9550;;;;;;;;;Invalid date;;
27;;61.12;20.16;0.9993;0.0001498;0.9987;0.0001361;0.9485;0.9245;;;;;;;;;Invalid date;;
30;;21.83;4.082;0.9982;0.0006359;0.9940;0.0005370;0.9885;0.9535;;;;;;;;;Invalid date;;
31;;60.76;4.533;0.9953;0.0004398;0.9973;0.0001146;0.9620;0.9405;;;;;;;;;Invalid date;;
32;;29.98;11.02;0.9976;0.0001829;0.9984;0.0001430;0.9990;0.9590;;;;;;;;;Invalid date;;
33;;21.52;13.95;0.9971;0.0002222;0.9819;0.002014;0.8985;0.8280;;;;;;;;;Invalid date;;
34;;36.33;25.55;0.9956;0.0005199;0.9720;0.004752;0.9135;0.9440;;;;;;;;;Invalid date;;
35;;33.91;8.199;0.9990;0.0001767;0.9919;0.0007919;0.9405;0.8195;;;;;;;;;Invalid date;;
36;;26.82;9.207;0.9985;0.0001876;0.9976;0.0003756;0.9905;0.9635;;;;;;;;;Invalid date;;
37;;42.44;21.93;0.9991;0.0001754;0.9934;0.0006941;0.9890;0.9325;;;;;;;;;Invalid date;;
42;;20.65;19.34;0.9931;0.0007596;0.9935;0.0002505;0.9895;0.9610;;;;;;;;;Invalid date;;
43;;70.73;9.878;0.9996;0.0003164;0.9996;0.0005131;0.9590;0.8915;;;;;;;;;Invalid date;;
44;;35.26;25.85;0.9983;0.0002924;0.9972;0.0001117;0.9995;0.9830;;;;;;;;;Invalid date;;
45;;46.37;29.68;0.9995;0.0005680;0.9980;0.00009075;0.9880;0.9280;;;;;;;;;Invalid date;;
46;;13.07;16.22;0.9559;0.003029;0.9945;0.0003316;0.9970;0.9685;;;;;;;;;Invalid date;;
47;;51.50;18.86;0.9943;0.004131;0.9975;0.0001111;0.9800;0.9040;;;;;;;;;Invalid date;;
