Qubit;Pair;T1 (µs);T2 (µs);f1QRB;f1QRB std err;f1Q sim. RB;f1Q sim. RB std err;fActiveReset;fRO;fXY;fXY std err;fCZ;fCZ std err;Avg T1 (µs);Avg T2 (µs);Avg fActiveReset;Avg fRO;Date;;fXYxfCZ;std
14;;31.71;42.57;0.9829;0.003024;0.9983;0.0001335;0.9995;0.9700;;;;;;;;;Invalid date;;;
15;;50.79;60.61;0.9987;0.0004863;0.9969;0.0003435;0.9985;0.9560;;;;;;;;;Invalid date;;;
16;;40.52;65.26;0.9995;0.0001892;0.9984;0.00007502;0.9995;0.9700;;;;;;;;;Invalid date;;;
17;;64.51;104.1;0.9990;0.0002959;0.9983;0.0002714;0.9990;0.9505;;;;;;;;;Invalid date;;;
20;;22.44;14.38;0.9048;0.02621;0.9945;0.0003371;0.9925;0.9475;;;;;;;;;Invalid date;;;
21;;51.20;59.90;0.9931;0.008400;0.9966;0.0003505;0.9620;0.9095;;;;;;;;;Invalid date;;;
22;;14.77;4.052;0.9894;0.0008602;0.9716;0.001394;0.9790;0.9575;;;;;;;;;Invalid date;;;
23;;94.07;15.51;0.9991;0.0003524;0.9992;0.0002965;0.9995;0.9385;;;;;;;;;Invalid date;;;
24;;32.26;36.12;0.9981;0.0004141;0.9984;0.0001305;0.9990;0.9690;;;;;;;;;Invalid date;;;
25;;58.73;65.82;0.9986;0.0005483;0.9976;0.0002298;0.9960;0.9350;;;;;;;;;Invalid date;;;
26;;19.91;35.78;0.9983;0.0001832;0.9968;0.0001429;0.9950;0.9475;;;;;;;;;Invalid date;;;
27;;60.08;16.16;0.9995;0.0002952;0.9958;0.0002190;0.9995;0.8710;;;;;;;;;Invalid date;;;
30;;19.84;20.44;0.9981;0.0001965;0.9976;0.0003127;0.9905;0.9215;;;;;;;;;Invalid date;;;
31;;42.88;53.90;0.9986;0.0005332;0.9977;0.0003044;0.9930;0.9465;;;;;;;;;Invalid date;;;
32;;25.11;32.91;0.9937;0.0005923;0.9932;0.0003176;0.9970;0.9485;;;;;;;;;Invalid date;;;
33;;13.43;8.544;0.9939;0.0004215;0.9908;0.0005298;0.9990;0.9700;;;;;;;;;Invalid date;;;
34;;45.38;72.13;0.9990;0.0002398;0.9986;0.0001129;0.9995;0.9810;;;;;;;;;Invalid date;;;
35;;53.02;39.52;0.9989;0.0004094;0.9985;0.0001687;0.9955;0.9500;;;;;;;;;Invalid date;;;
36;;16.74;55.18;0.9937;0.0006061;0.9963;0.0002128;0.9960;0.9615;;;;;;;;;Invalid date;;;
37;;20.02;21.83;0.9982;0.0003192;0.9981;0.0001109;0.9975;0.9540;;;;;;;;;Invalid date;;;
40;;34.05;42.35;0.9988;0.00008465;0.9978;0.0001942;0.9985;0.9720;;;;;;;;;Invalid date;;;
41;;38.43;23.56;0.9992;0.0001282;0.9988;0.0001322;0.9995;0.9335;;;;;;;;;Invalid date;;;
42;;18.04;24.51;0.9976;0.0001776;0.9972;0.0002775;0.9990;0.9760;;;;;;;;;Invalid date;;;
43;;9.945;9.538;0.9964;0.0003395;0.9916;0.0004492;0.9955;0.9705;;;;;;;;;Invalid date;;;
44;;3.604;2.492;0.9915;0.0003957;0.9828;0.001421;0.9635;0.9660;;;;;;;;;Invalid date;;;
45;;16.29;34.91;0.9988;0.0002341;0.9538;0.005979;0.9995;0.9470;;;;;;;;;Invalid date;;;
46;;23.03;2.086;0.9967;0.0001026;0.9516;0.006025;0.9955;0.9275;;;;;;;;;Invalid date;;;
47;;62.69;9.968;0.9985;0.0001363;0.9686;0.005852;0.9925;0.8695;;;;;;;;;Invalid date;;;
100;;28.62;31.03;0.9983;0.0001325;0.9964;0.0003006;0.9975;0.9715;;;;;;;;;Invalid date;;;
101;;34.42;8.930;0.9970;0.0001835;0.9969;0.0002807;0.9950;0.8670;;;;;;;;;Invalid date;;;
